chr start end read_depth
5 0 50000 101658
5 50000 100000 122771
5 100000 150000 124850
5 150000 200000 107412
5 200000 250000 124423
5 250000 300000 123261
5 300000 350000 115470
5 350000 400000 117334
5 400000 450000 127409
5 450000 500000 109796
5 500000 550000 100739
5 550000 600000 109817
5 600000 650000 114513
5 650000 700000 107919
5 700000 750000 154222
5 750000 800000 153250
5 800000 850000 154186
5 850000 900000 109680
5 900000 950000 125730
5 950000 1000000 120918
5 1000000 1050000 99917
5 1050000 1100000 101688
5 1100000 1150000 107712
5 1150000 1200000 108542
5 1200000 1250000 105663
5 1250000 1300000 115049
5 1300000 1350000 118287
5 1350000 1400000 112094
5 1400000 1450000 100409
5 1450000 1500000 110353
5 1500000 1550000 121136
5 1550000 1600000 124663
5 1600000 1650000 121033
5 1650000 1700000 115332
5 1700000 1750000 120592
5 1750000 1800000 117512
5 1800000 1850000 118791
5 1850000 1900000 99056
5 1900000 1950000 112402
5 1950000 2000000 119809
5 2000000 2050000 118446
5 2050000 2100000 129641
5 2100000 2150000 125152
5 2150000 2200000 117604
5 2200000 2250000 126475
5 2250000 2300000 115445
5 2300000 2350000 123592
5 2350000 2400000 118633
5 2400000 2450000 125882
5 2450000 2500000 128494
5 2500000 2550000 117722
5 2550000 2600000 133370
5 2600000 2650000 128438
5 2650000 2700000 130106
5 2700000 2750000 116355
5 2750000 2800000 128588
5 2800000 2850000 122435
5 2850000 2900000 126093
5 2900000 2950000 138622
5 2950000 3000000 133975
5 3000000 3050000 121139
5 3050000 3100000 123010
5 3100000 3150000 121902
5 3150000 3200000 131905
5 3200000 3250000 118197
5 3250000 3300000 124143
5 3300000 3350000 119504
5 3350000 3400000 121139
5 3400000 3450000 128984
5 3450000 3500000 134875
5 3500000 3550000 114965
5 3550000 3600000 131453
5 3600000 3650000 119302
5 3650000 3700000 124797
5 3700000 3750000 123589
5 3750000 3800000 120247
5 3800000 3850000 129259
5 3850000 3900000 127604
5 3900000 3950000 135251
5 3950000 4000000 130792
5 4000000 4050000 119585
5 4050000 4100000 129342
5 4100000 4150000 129624
5 4150000 4200000 122094
5 4200000 4250000 130629
5 4250000 4300000 131643
5 4300000 4350000 137693
5 4350000 4400000 140097
5 4400000 4450000 134329
5 4450000 4500000 127116
5 4500000 4550000 132537
5 4550000 4600000 131982
5 4600000 4650000 131842
5 4650000 4700000 137395
5 4700000 4750000 134165
5 4750000 4800000 139620
5 4800000 4850000 143427
5 4850000 4900000 122672
5 4900000 4950000 132743
5 4950000 5000000 134142
5 5000000 5050000 130090
5 5050000 5100000 133793
5 5100000 5150000 134559
5 5150000 5200000 129286
5 5200000 5250000 134690
5 5250000 5300000 124487
5 5300000 5350000 108715
5 5350000 5400000 116337
5 5400000 5450000 129287
5 5450000 5500000 131589
5 5500000 5550000 130047
5 5550000 5600000 122378
5 5600000 5650000 132392
5 5650000 5700000 143315
5 5700000 5750000 131612
5 5750000 5800000 124304
5 5800000 5850000 131303
5 5850000 5900000 132731
5 5900000 5950000 136475
5 5950000 6000000 137457
5 6000000 6050000 130219
5 6050000 6100000 130385
5 6100000 6150000 123355
5 6150000 6200000 130620
5 6200000 6250000 124924
5 6250000 6300000 133988
5 6300000 6350000 119233
5 6350000 6400000 120310
5 6400000 6450000 122785
5 6450000 6500000 120154
5 6500000 6550000 109093
5 6550000 6600000 125743
5 6600000 6650000 115736
5 6650000 6700000 97608
5 6700000 6750000 93092
5 6750000 6800000 113505
5 6800000 6850000 120725
5 6850000 6900000 128426
5 6900000 6950000 129924
5 6950000 7000000 130841
5 7000000 7050000 138642
5 7050000 7100000 131030
5 7100000 7150000 129770
5 7150000 7200000 132709
5 7200000 7250000 131455
5 7250000 7300000 135256
5 7300000 7350000 128258
5 7350000 7400000 135899
5 7400000 7450000 127010
5 7450000 7500000 131891
5 7500000 7550000 124606
5 7550000 7600000 141204
5 7600000 7650000 137241
5 7650000 7700000 122545
5 7700000 7750000 135751
5 7750000 7800000 125331
5 7800000 7850000 123788
5 7850000 7900000 120654
5 7900000 7950000 136522
5 7950000 8000000 131823
5 8000000 8050000 130516
5 8050000 8100000 137272
5 8100000 8150000 139648
5 8150000 8200000 127291
5 8200000 8250000 124723
5 8250000 8300000 127288
5 8300000 8350000 137368
5 8350000 8400000 141367
5 8400000 8450000 134639
