chr start end read_depth
seq 8 9 2
seq 9 10 2
seq 10 11 2
seq 11 12 2
seq 12 13 2
seq 13 14 2
seq 14 15 1
seq 15 16 1
seq 16 17 2
['seq', 2, 3, 0.0]
['seq', 3, 4, 0.0]
['seq', 4, 5, 0.0]
['seq', 5, 6, 0.0]
['seq', 6, 7, 0.0]
['seq', 7, 8, 0.0]
['seq', 8, 9, 0.0]
['seq', 9, 10, 0.0]
['seq', 10, 11, 0.0]
['seq', 11, 12, 0.0]
['seq', 12, 13, 0.0]
['seq', 13, 14, 0.0]
['seq', 14, 15, 0.0]
['seq', 15, 16, 0.0]
['seq', 16, 17, 0.0]
['seq', 17, 18, 0.0]
['seq', 18, 19, 0.0]
['seq', 19, 20, 0.0]
['seq', 20, 21, 0.0]
